Voter ID,Projects Selected
75,"P18,P4,P9,P20,P5"
76,"P15,P1,P14,P21"
77,"P15,P16"
78,"P21,P6,P10,P9,P11,P19"
79,"P11,P20,P15,P3,P4"
80,"P4,P12,P14"
81,"P16,P7,P4,P2,P5,P10"
82,"P13,P10,P11"
83,"P14,P8,P19,P9,P21,P10"
84,"P17,P7,P4,P1"
85,"P1,P7,P12,P18,P19,P16"
86,"P13,P7,P6"
87,"P12,P2,P6,P16,P3"
88,"P5,P13,P10,P6,P4,P1"
89,"P8,P18,P15"
90,"P17,P18,P1"
91,"P8,P14,P20,P10,P16"
92,"P13,P20"
93,"P19,P20,P1,P4"
94,"P13,P9,P8,P19,P12,P14"
95,"P7,P19,P11"
96,"P6,P3"
97,"P4,P17"
98,"P1,P2,P21,P20,P5"
99,"P5,P2,P12"
100,"P5,P6,P2"
101,"P19,P8,P21,P12,P13,P2"
102,"P19,P17,P1,P10,P14,P13"
103,"P15,P4"
104,"P3,P10"
105,"P18,P6,P9,P15,P12"
106,"P20,P4,P21,P16,P7,P2"
107,"P14,P11,P2,P13,P17"
108,"P21,P17,P12,P15,P14,P2"
109,"P15,P7,P4"
110,"P1,P8,P12,P2,P5"
111,"P11,P1,P13,P7"
112,"P15,P2,P12"
113,"P9,P3,P14"
114,"P9,P11,P14,P10,P13,P19"
115,"P15,P13,P9,P14,P4"
116,"P6,P17,P10,P1"
117,"P1,P21"
118,"P7,P15"
119,"P7,P15,P17,P9"
120,"P4,P1,P16,P8,P17"
121,"P7,P6,P5"
122,"P18,P8,P20,P16"
123,"P6,P5,P7,P8,P9"
124,"P2,P4,P11,P9"
125,"P16,P21"
126,"P12,P15,P18,P14,P19"
127,"P2,P21"
128,"P1,P12"
129,"P3,P4,P17,P13,P6,P9"
130,"P20,P8,P7,P19,P10"
131,"P19,P3,P10,P2,P5,P13"
132,"P21,P13,P8,P3,P11,P12"
133,"P17,P2,P1,P21"
134,"P12,P16,P11,P15,P19"
135,"P7,P4"
136,"P8,P18,P5,P7,P16,P2"
137,"P9,P21,P20,P13,P11,P1"
138,"P7,P18"
139,"P8,P17"
140,"P10,P4,P18,P21"
141,"P20,P8,P6"
142,"P9,P11,P15,P2,P3"
143,"P15,P8,P20,P16,P2"
144,"P2,P14"
145,"P7,P13,P2,P12"
146,"P19,P16,P3,P6"
147,"P19,P8,P3,P2,P5"
148,"P6,P16,P15,P11,P14"
149,"P20,P21,P1,P14,P19,P10"
150,"P17,P14"
151,"P13,P1,P12,P21,P18,P4"
152,"P18,P6"
153,"P19,P5,P3,P1,P16,P11"
154,"P14,P10,P8,P12,P19,P1"
155,"P16,P11,P8,P7,P13,P18"
156,"P9,P19"
157,"P17,P19,P14"
158,"P4,P17,P13,P21,P16,P11"
159,"P18,P14,P7,P9,P11"
160,"P19,P13,P9,P6"
161,"P1,P14,P19"
162,"P5,P11,P20,P17,P8,P2"
163,"P7,P12"
164,"P2,P18,P15,P12,P13,P8"
165,"P10,P20,P4,P2"
166,"P17,P12,P8,P10,P19,P3"
167,"P6,P15,P21,P20,P18,P7"
168,"P2,P16,P19,P7"
169,"P17,P3,P18"
170,"P13,P16"
171,"P16,P15"
172,"P4,P1"
173,"P10,P2,P6"
174,"P16,P8"
175,"P3,P16,P10,P11,P15"
176,"P4,P16,P3,P17"
177,"P21,P17,P1,P19"
178,"P1,P21"
179,"P8,P21"
180,"P21,P6"
181,"P9,P18"
182,"P1,P9,P21,P3,P18,P8"
183,"P6,P4,P12,P18,P3,P5"
184,"P16,P5,P9,P10,P8"
185,"P14,P10,P11,P13,P3"
186,"P10,P14,P18,P4,P12,P7"
187,"P13,P11,P15"
188,"P16,P2,P19,P4"
189,"P17,P15,P4,P6"
190,"P1,P17,P8,P19,P20,P5"
191,"P12,P14,P4,P16,P13"
192,"P3,P5,P13,P19,P14,P4"
193,"P19,P21,P6,P15,P18"
194,"P17,P14"
195,"P12,P15,P10,P18,P14"
196,"P20,P15,P21,P11"
197,"P15,P16,P14,P20,P7,P1"
198,"P15,P11"
199,"P14,P17"
200,"P7,P8,P16"
201,"P8,P19,P21"
202,"P15,P10,P3,P6"
203,"P16,P18,P17,P13,P11"
204,"P2,P15,P8,P18,P12"
205,"P13,P1,P12,P5"
206,"P15,P7"
207,"P3,P8,P7"
208,"P21,P11"
209,"P15,P18,P19,P6,P17,P1"
210,"P6,P19,P12"
211,"P16,P13,P7,P2"
212,"P17,P18,P7,P16,P2,P15"
213,"P19,P3,P1,P14,P5,P7"
214,"P12,P10"
215,"P10,P21,P3"
216,"P16,P10,P15,P1,P20,P13"
217,"P4,P21,P15,P6,P10"
218,"P17,P11,P19,P13,P8,P9"
219,"P14,P12,P2"
220,"P9,P4,P14,P5,P13,P15"
221,"P9,P1,P17"
222,"P13,P6,P18,P16,P2,P3"
223,"P5,P4,P12"
224,"P14,P15,P2,P3,P18"
225,"P15,P4,P21,P20,P1,P9"
226,"P20,P19,P6,P2"
227,"P3,P17,P18,P1,P5"
228,"P3,P8,P4"
229,"P19,P13,P2,P11,P21,P7"
230,"P13,P4,P3,P16"
231,"P10,P3,P16"
232,"P3,P9,P14,P12"
233,"P10,P11,P3,P6"
234,"P7,P11,P12"
235,"P3,P14,P10,P21,P12,P20"
236,"P7,P1,P21,P13,P19"
237,"P17,P14,P10"
238,"P13,P11,P1,P2,P15,P10"
239,"P7,P11,P6,P20"
240,"P3,P19"
241,"P14,P12"
242,"P13,P9,P15"
243,"P13,P14"
244,"P14,P16,P20,P17,P4,P7"
245,"P3,P10,P11,P5"
246,"P9,P18,P14,P21"
247,"P3,P11,P7,P12,P1,P17"
248,"P7,P12,P3,P17"
249,"P2,P13,P7,P5"
250,"P9,P13,P12,P4,P7,P5"
251,"P3,P2,P20,P10,P4"
252,"P14,P9,P8"
253,"P9,P16,P1,P18,P4,P6"
254,"P12,P2"
255,"P4,P13,P7,P8,P5,P18"
256,"P5,P11,P19,P8,P21"
257,"P14,P12,P16,P4,P18,P6"
258,"P19,P4,P5,P17"
259,"P1,P21,P14"
260,"P8,P18,P4"
261,"P7,P20,P6,P9,P12,P4"
262,"P16,P19,P3,P21,P15"
263,"P4,P19,P14,P1,P16"
264,"P3,P4,P16,P5,P18,P8"
265,"P11,P19,P4"
266,"P7,P12,P21"
267,"P12,P8"
268,"P14,P6,P18,P15"
269,"P10,P12,P1"
270,"P1,P19,P9,P4"
271,"P15,P16,P3,P14"
272,"P6,P18,P20,P21,P3,P5"
273,"P10,P13,P18,P6"
274,"P13,P7"
275,"P5,P20,P16,P1,P7"
276,"P14,P10,P15,P8,P5,P6"
277,"P5,P21,P9"
278,"P14,P7,P15"
279,"P7,P13,P17,P3,P6,P11"
280,"P4,P10,P11,P5"
281,"P16,P18,P9,P21,P12,P1"
282,"P9,P15,P10,P3"
283,"P14,P10,P7,P9,P18"
284,"P1,P12"
285,"P19,P10,P2,P13,P11"
286,"P12,P7,P6"
287,"P8,P5,P9,P10,P19,P21"
288,"P12,P4,P19,P21"
289,"P1,P18,P15,P16"
290,"P9,P16,P5,P18"
291,"P11,P15"
292,"P14,P21"
293,"P12,P1,P4"
294,"P6,P21,P1,P10,P7"
295,"P15,P4,P9,P10,P16"
296,"P10,P17,P9"
297,"P5,P14,P4,P12,P6,P8"
298,"P11,P14"
299,"P5,P2,P18,P20,P17,P6"
300,"P16,P17"
301,"P20,P17"
302,"P6,P21,P2,P5,P12,P20"
303,"P1,P19"
304,"P5,P7,P12,P9"
305,"P19,P3,P7,P2,P6"
306,"P19,P5,P21,P1,P6"
307,"P3,P1,P20,P6"
308,"P16,P20,P18"
309,"P12,P15,P19"
310,"P17,P21,P8,P11,P9,P7"
311,"P14,P2,P8"
312,"P6,P10,P2"
313,"P1,P15,P16,P2,P21,P8"
314,"P18,P4,P16,P20,P12"
315,"P13,P18"
316,"P5,P10,P13,P1"
317,"P17,P18,P19,P12,P6,P2"
318,"P11,P4,P12,P3,P6,P5"
319,"P14,P13,P2,P1,P15,P10"
320,"P9,P4,P20,P15,P19,P12"
321,"P2,P8,P13,P10,P17,P16"
322,"P16,P5,P12"
323,"P1,P4,P5,P11,P14,P9"
324,"P7,P9,P8,P5,P15,P14"
325,"P3,P11,P10,P6,P20"
326,"P20,P11,P16,P3,P10,P15"
327,"P2,P21,P15,P3,P18"
328,"P8,P12"
329,"P8,P13,P21"
330,"P20,P5,P4,P16"
331,"P7,P9,P1"
332,"P21,P3,P12,P11"
333,"P18,P14,P20,P8,P4,P9"
334,"P18,P15,P2"
335,"P4,P3,P11,P10,P5"
336,"P4,P17"
337,"P20,P11,P9,P4,P5,P13"
338,"P19,P11,P4,P16"
339,"P8,P13,P20"
340,"P10,P18,P4,P9,P8"
341,"P7,P15"
342,"P1,P21,P3,P18"
343,"P4,P21"
344,"P14,P8"
345,"P6,P21,P9,P19,P8,P20"
346,"P12,P9,P19,P11,P3"
347,"P20,P17,P4,P16,P21,P11"
348,"P3,P15,P4,P12"
349,"P8,P13,P19,P18"
350,"P21,P7"
351,"P12,P20,P9,P18"
352,"P7,P1,P10,P9,P2,P17"
353,"P3,P2,P1,P14,P11,P13"
354,"P18,P3,P21,P7,P19,P17"
355,"P13,P16"
356,"P6,P13,P20,P10,P1,P8"
357,"P15,P12"
358,"P11,P19"
359,"P19,P1,P14,P9,P20,P4"
360,"P13,P15"
361,"P2,P19"
362,"P15,P20"
363,"P12,P4,P1,P11,P6"
364,"P18,P13"
365,"P7,P16,P10,P9"
366,"P12,P18,P7,P19"
367,"P17,P12"
368,"P13,P11,P9,P8,P19"
369,"P17,P4,P5,P14,P21"
370,"P17,P4,P1,P16,P13,P8"
371,"P2,P3,P15"
372,"P21,P7"
373,"P16,P17"
374,"P15,P14"
375,"P8,P6,P11"
376,"P17,P18,P4,P3"
377,"P21,P4,P6,P15,P18,P14"
378,"P12,P4"
379,"P1,P15,P17,P9,P10,P5"
380,"P13,P15,P14,P1"
381,"P9,P5"
382,"P20,P15,P14,P11"
383,"P3,P6,P11,P9,P10"
384,"P18,P10,P15,P12"
385,"P20,P13"
386,"P9,P19"
387,"P1,P3,P9,P21,P18,P11"
388,"P21,P10,P20,P14"
389,"P21,P12,P5"
390,"P14,P12"
391,"P18,P20,P15"
392,"P19,P2,P15"
393,"P13,P21,P16,P12,P5"
394,"P21,P10,P6,P1"
395,"P4,P11,P16"
396,"P19,P16,P1,P13,P12,P3"
397,"P5,P9"
398,"P2,P16,P15,P18"
399,"P14,P8,P11"
400,"P20,P14"
401,"P2,P4,P19,P5,P18,P15"
402,"P14,P21"
403,"P7,P20,P8"
404,"P6,P14,P1,P3"
405,"P21,P15,P6,P14,P11"
406,"P17,P3,P7,P5"
407,"P4,P7,P11,P9,P5"
408,"P1,P3,P18,P5,P7"
409,"P21,P5,P2"
410,"P6,P11"
411,"P2,P9,P13"
412,"P10,P1,P15,P4,P12"
413,"P8,P4,P3"
414,"P13,P10,P17,P8"
415,"P14,P6,P18,P15"
416,"P7,P4,P17,P9"
417,"P8,P21,P13,P10,P5,P4"
418,"P5,P19,P14,P9"
419,"P17,P15,P3,P13"
420,"P7,P20,P21,P2,P19"
421,"P6,P4,P14"
422,"P17,P2,P15,P1,P4,P5"
423,"P11,P21"
424,"P9,P3,P5,P12,P4"
425,"P4,P18,P20"
426,"P7,P10,P1"
427,"P16,P19"
428,"P19,P10"
429,"P11,P12,P16,P14"
430,"P19,P13,P5,P12,P7"
431,"P15,P4,P20,P16,P19"
432,"P2,P8,P10"
433,"P16,P9,P4,P15"
434,"P13,P12,P6,P7"
435,"P2,P5"
436,"P10,P6,P5"
437,"P15,P3,P13"
438,"P10,P8,P7,P19,P12"
439,"P20,P21"
440,"P15,P6,P3,P19,P18,P11"
441,"P20,P6,P15"
442,"P20,P19"
443,"P2,P14,P16"
444,"P21,P9,P5,P2,P4"
445,"P16,P8"
446,"P2,P3"
447,"P20,P4"
448,"P9,P13"
449,"P2,P11"
450,"P21,P2,P10"
451,"P11,P13,P14,P18,P20,P12"
452,"P1,P7"
453,"P20,P12,P7,P16,P6,P5"
454,"P17,P8,P19,P6,P1"
455,"P11,P7,P6"
456,"P9,P17,P18,P19"
457,"P16,P14"
458,"P14,P12,P15,P16,P13,P11"
459,"P7,P19,P12,P6"
460,"P19,P4,P9,P14,P8,P3"
461,"P21,P10,P11"
462,"P9,P15,P21"
463,"P3,P21,P13,P2,P17,P9"
464,"P18,P4,P21,P6,P5"
465,"P7,P9,P20"
466,"P10,P9,P15,P21,P18,P12"
467,"P20,P10,P21,P11,P3"
468,"P6,P4,P12,P15"
469,"P20,P19,P3"
470,"P5,P13,P2,P16"
471,"P8,P7"
472,"P3,P9,P8,P18,P5,P15"
473,"P10,P13,P4,P5,P7"
474,"P12,P11,P9,P21,P5,P20"
475,"P4,P7,P15,P6,P1,P14"
476,"P15,P7,P2,P21,P1"
477,"P20,P21,P7"
478,"P13,P18,P21,P6"
479,"P16,P11"
480,"P19,P4,P3"
481,"P7,P18,P6,P17,P3,P21"
482,"P1,P15,P8,P17"
483,"P18,P11,P20,P1"
484,"P2,P13,P17,P4"
485,"P4,P3,P9,P14"
486,"P15,P17,P11"
487,"P21,P14,P6,P3,P16"
488,"P6,P15,P21,P10,P8"
489,"P4,P10,P9,P12,P14,P18"
490,"P9,P19"
491,"P15,P11,P7,P2,P3,P10"
492,"P13,P7,P8,P18"
493,"P11,P21,P10,P20"
494,"P3,P5"
495,"P5,P3,P17"
496,"P10,P18,P4,P7,P3,P5"
497,"P12,P20"
498,"P2,P18,P19"
499,"P20,P8,P1,P5,P6,P18"
500,"P6,P10"
501,"P16,P14"
502,"P19,P15,P2,P13,P17"
503,"P18,P6,P21"
504,"P13,P14,P15"
505,"P2,P1,P20,P16"
506,"P8,P11,P10,P14,P6"
507,"P20,P12,P19,P1"
508,"P5,P3"
509,"P12,P11,P7"
510,"P4,P6"
511,"P8,P9,P7,P14"
512,"P13,P14,P19,P8"
513,"P2,P14,P16,P11,P20"
514,"P10,P1,P7,P3"
515,"P17,P6,P20,P4"
516,"P20,P9"
517,"P16,P6,P1,P12"
518,"P11,P8,P6,P4"
519,"P21,P18,P11,P12,P19"
520,"P5,P13"
521,"P10,P12,P1,P20,P17,P7"
522,"P2,P15,P6,P5,P17"
523,"P19,P21,P7,P5"
524,"P21,P18,P14,P13,P17,P1"
525,"P1,P13"
526,"P6,P17,P12,P10"
527,"P7,P2,P11,P6"
528,"P14,P4,P9"
529,"P14,P8"
530,"P1,P15,P6,P16,P9"
531,"P1,P2,P12"
532,"P6,P20"
533,"P1,P15,P19,P8"
534,"P15,P16,P18,P17,P3,P2"
535,"P17,P12,P19,P4"
536,"P20,P1,P12,P9"
537,"P10,P18,P15"
538,"P10,P2,P21,P4,P19,P16"
539,"P9,P1"
540,"P17,P15,P16,P12,P3,P11"
541,"P20,P19,P6,P5,P4"
542,"P15,P19,P2"
543,"P13,P18"
544,"P10,P1,P21,P16,P13,P8"
545,"P1,P20,P19"
546,"P16,P20,P4,P10"
547,"P11,P19"
548,"P17,P10,P5"
549,"P13,P16,P15,P9,P4"
550,"P11,P8,P15,P9,P14"
551,"P15,P18,P11,P14,P7"
552,"P4,P13,P10,P8,P20"
553,"P21,P4"
554,"P13,P17"
555,"P19,P12,P5,P10"
556,"P16,P4"
557,"P17,P16,P10,P20,P6"
558,"P14,P8,P9,P7"
559,"P11,P3,P1"
560,"P3,P1"
561,"P18,P17,P7"
562,"P9,P19"
563,"P9,P3"
564,"P3,P21"
565,"P2,P3,P15"
566,"P15,P9,P18,P3"
567,"P16,P19,P14,P4"
568,"P9,P5,P7,P17,P2,P6"
569,"P6,P9"
570,"P18,P5,P9,P16"
571,"P17,P1"
572,"P2,P19,P6,P15,P17"
573,"P15,P9,P7,P14"
574,"P6,P11,P9,P21"
575,"P15,P2,P6,P13"
576,"P4,P11,P10,P13,P18,P14"
577,"P21,P5,P1,P16,P6,P15"
578,"P5,P8,P4"
579,"P21,P15,P1,P17,P14,P8"
580,"P10,P9,P12"
581,"P19,P15,P12"
582,"P18,P6"
583,"P21,P1,P7,P17,P11,P13"
584,"P17,P2,P5,P18,P10,P9"
585,"P5,P15"
586,"P7,P14,P5,P13,P9,P10"
587,"P10,P15"
588,"P2,P9,P10,P15,P11,P3"
589,"P8,P16,P6,P13"
590,"P14,P1"
591,"P5,P8,P17,P21,P1,P19"
592,"P21,P6"
593,"P16,P18,P1,P14,P21,P5"
594,"P14,P11,P20,P7"
595,"P20,P5"
596,"P6,P21,P4"
597,"P17,P18,P4"
598,"P20,P1,P7,P11,P19"
599,"P5,P8,P6"
600,"P5,P8,P10,P9,P21"
601,"P3,P13,P2,P17"
602,"P18,P17,P3"
603,"P18,P19,P9,P21"
604,"P6,P7,P20"
605,"P6,P17,P10"
606,"P13,P4,P19,P15,P3"
607,"P17,P4"
608,"P13,P7,P5,P4,P8,P17"
609,"P11,P6,P3,P9,P12"
610,"P10,P9,P15,P5"
611,"P16,P1,P2"
612,"P17,P20,P16,P9"
613,"P6,P21,P11,P15"
614,"P2,P7,P16"
615,"P17,P12,P2,P21"
616,"P15,P9,P8"
617,"P2,P21,P13"
618,"P21,P18"
619,"P1,P15,P16"
620,"P14,P13,P16"
621,"P17,P12,P19,P21"
622,"P16,P3,P11,P15,P8"
623,"P8,P11,P21"
624,"P7,P16,P19,P2,P6,P8"
625,"P19,P10,P2,P11,P14,P20"
626,"P13,P4,P6,P15,P17"
627,"P5,P2"
628,"P20,P13,P5,P9,P2"
629,"P20,P12,P6,P19,P9,P5"
630,"P11,P14,P4,P15,P8"
631,"P5,P2,P3,P16,P1"
632,"P4,P15"
633,"P21,P11,P20,P13"
634,"P15,P10,P16,P8,P12"
635,"P2,P14"
636,"P10,P21,P9,P17,P2"
637,"P4,P13,P16,P19,P17"
638,"P2,P8,P1,P6,P10,P5"
639,"P1,P21,P18"
640,"P8,P10,P4"
641,"P16,P4,P11,P19,P1,P7"
642,"P21,P7,P2,P8,P17,P1"
643,"P12,P9,P7"
644,"P8,P15"
645,"P4,P5,P19"
646,"P1,P9,P18,P17"
647,"P4,P20,P18,P16,P12,P15"
648,"P5,P6,P19"
649,"P16,P17,P2"
650,"P19,P5,P17,P8,P13,P7"
651,"P4,P2,P14,P6,P1,P9"
652,"P15,P18,P14,P7,P2"
653,"P18,P3,P13"
654,"P3,P19,P9,P18,P13,P16"
655,"P15,P13"
656,"P18,P14,P9,P19,P21,P3"
657,"P18,P12"
658,"P2,P4"
659,"P9,P6,P15,P20"
660,"P11,P15,P8,P1"
661,"P17,P2"
662,"P16,P5,P11,P17,P10,P6"
663,"P1,P5,P6"
664,"P6,P16,P12,P21,P4"
665,"P6,P16,P5,P8"
666,"P4,P9"
667,"P10,P3,P13"
668,"P8,P18,P6,P14,P15"
669,"P12,P19,P15,P5,P20"
670,"P15,P4,P19,P17,P9"
671,"P1,P12,P7,P10,P13"
672,"P21,P15,P10,P2"
673,"P13,P18,P8,P9,P14,P16"
674,"P14,P10"
675,"P6,P20,P5,P3,P16"
676,"P7,P13,P1,P11,P8"
677,"P1,P18,P3,P19,P21,P17"
678,"P16,P21"
679,"P8,P4,P17,P6,P14,P7"
680,"P21,P9,P3,P18,P16"
681,"P7,P6"
682,"P11,P2,P17"
683,"P20,P7"
684,"P20,P5,P6"
685,"P9,P10,P12,P21,P19"
686,"P10,P16,P6,P15"
687,"P16,P20,P6,P10,P18,P15"
688,"P3,P15,P10,P1,P14"
689,"P18,P13,P15,P9,P5"
690,"P13,P4"
691,"P16,P14,P18"
692,"P7,P15,P13"
693,"P18,P5"
694,"P20,P7,P1,P18"
695,"P17,P16,P19,P1,P3"
696,"P17,P3,P6"
697,"P6,P13"
698,"P11,P18,P4"
699,"P14,P16,P3,P2"
700,"P13,P6,P20"
701,"P4,P20,P7,P19"
702,"P14,P5,P17,P10"
703,"P8,P16,P6,P18"
704,"P17,P9,P1"
705,"P6,P12"
706,"P2,P21,P9"
707,"P6,P2,P19"
708,"P18,P6"
709,"P21,P4,P5,P10,P16,P13"
710,"P14,P15,P17,P7,P1"
711,"P4,P16,P6"
712,"P9,P2,P7,P16,P12,P3"
713,"P16,P14,P18"
714,"P17,P4,P10,P20"
715,"P13,P16,P19,P4,P10,P11"
716,"P20,P5"
717,"P17,P9"
718,"P14,P12,P8,P17,P11,P3"
719,"P9,P2,P12,P13,P10,P19"
720,"P7,P9,P2,P4,P19,P15"
721,"P6,P18,P15,P16"
722,"P5,P11,P16"
723,"P2,P5,P6,P11"
724,"P8,P4,P6,P19,P16,P18"
725,"P9,P10,P19,P12"
726,"P21,P1,P8,P20"
727,"P19,P11,P18,P5,P20"
728,"P14,P16,P15,P5"
729,"P20,P13,P15"
730,"P17,P7,P19,P1,P15"
731,"P3,P14,P7,P18"
732,"P13,P14"
733,"P13,P16,P10"
734,"P20,P19"
735,"P15,P7"
736,"P5,P6,P4,P16,P13"
737,"P18,P1,P7,P13"
738,"P10,P12"
739,"P9,P1,P6,P3"
740,"P12,P13,P11,P1,P19,P9"
741,"P10,P3,P9,P6,P5,P8"
742,"P13,P2,P5,P19"
743,"P8,P12,P3,P19,P16,P10"
744,"P21,P13,P7,P14,P8,P2"
745,"P18,P9,P13,P2"
746,"P1,P9,P8,P11,P4"
747,"P12,P20,P7,P3,P15"
748,"P14,P3,P2"
749,"P9,P11,P13,P7,P3,P21"
750,"P19,P13,P4,P6,P14"
751,"P2,P17,P18,P16"
752,"P11,P17,P21,P7"
753,"P19,P20,P16,P18,P17"
754,"P14,P21"
755,"P21,P2,P13,P11,P3,P4"
756,"P18,P17,P21,P15,P10,P20"
757,"P7,P6,P3,P16,P15"
758,"P11,P10,P21,P15,P20,P16"
759,"P1,P13,P2,P17,P11"
760,"P18,P17,P7,P10"
761,"P12,P14,P10,P8,P6,P15"
762,"P10,P3,P20,P11"
763,"P12,P5,P16,P15,P2"
764,"P21,P12"
765,"P6,P13,P20,P18,P3"
766,"P2,P12,P5,P15,P19,P1"
767,"P18,P11"
768,"P13,P8,P4,P14"
769,"P14,P2,P13,P19"
770,"P19,P7,P6,P8"
771,"P11,P21,P18,P7,P17"
772,"P7,P8,P20,P3,P9,P19"
773,"P12,P10,P17"
774,"P19,P6,P17,P20"
775,"P13,P14"
776,"P11,P7,P9,P16,P15"
777,"P2,P19"
778,"P1,P5"
779,"P3,P1,P2,P20,P7,P6"
780,"P13,P14,P3,P15,P1"
781,"P17,P13,P9,P10,P3,P20"
782,"P16,P21,P14"
783,"P1,P5,P10,P6"
784,"P2,P3,P5,P19"
785,"P4,P12,P7,P20,P19,P15"
786,"P19,P6,P16,P3"
787,"P15,P13,P20,P4,P19,P6"
788,"P5,P20,P7,P19"
789,"P1,P4,P2,P16,P19,P20"
790,"P15,P10,P20,P13,P1"
791,"P8,P10,P18,P13,P9,P4"
792,"P11,P1,P15,P18,P7"
793,"P5,P7"
794,"P4,P11,P8"
795,"P20,P16,P13,P6"
796,"P16,P10"
797,"P21,P1"
798,"P15,P12,P4"
799,"P4,P13,P9,P18"
800,"P13,P17,P19,P18,P6"
801,"P20,P15,P7"
802,"P15,P17,P13"
803,"P6,P17"
804,"P20,P14,P7,P12"
805,"P12,P1,P3,P5"
806,"P20,P19"
807,"P9,P19"
808,"P12,P5,P11,P7,P19,P21"
809,"P1,P3,P19"
810,"P12,P9,P19,P16,P2"
811,"P20,P10,P9,P12"
812,"P19,P4,P9,P11,P5,P3"
813,"P5,P2"
814,"P17,P18,P16"
815,"P21,P15"
816,"P8,P14"
817,"P10,P5"
818,"P5,P4"
819,"P2,P10"
820,"P18,P16,P20,P12,P5"
821,"P2,P21"
822,"P10,P18,P14,P11,P21,P6"
823,"P11,P14,P17,P13"
824,"P6,P21,P2"
825,"P9,P10,P4,P15"
826,"P1,P12"
827,"P16,P7,P5,P20,P14"
828,"P2,P15,P1,P13,P9,P16"
829,"P8,P11,P17"
830,"P18,P19,P11"
831,"P15,P12"
832,"P2,P10,P15"
833,"P1,P2,P10,P17,P7"
834,"P15,P13"
835,"P15,P8,P6"
836,"P11,P7,P18,P6"
837,"P10,P7,P18,P8,P5"
838,"P6,P5,P11,P2,P14"
839,"P10,P17,P7"
840,"P8,P5,P21,P1,P3"
841,"P14,P9,P21,P16"
842,"P1,P8,P17,P2"
843,"P11,P10,P3,P18,P21,P6"
844,"P7,P19"
845,"P4,P2,P21,P1,P9"
846,"P7,P21,P2,P12"
847,"P19,P18"
848,"P19,P21"
849,"P9,P2,P19"
850,"P1,P2,P17,P16,P13"
851,"P10,P17,P13,P12,P11,P21"
852,"P6,P12,P21"
853,"P15,P13,P17,P12,P21"
854,"P12,P14,P10,P19"
855,"P19,P6,P16"
856,"P11,P1,P3,P7,P5"
857,"P5,P14,P15,P10"
858,"P9,P5,P6,P19,P3,P14"
859,"P2,P20,P12,P6,P7"
860,"P4,P9,P18,P15,P3,P10"
861,"P1,P8,P11"
862,"P16,P15,P8,P4,P6"
863,"P2,P10,P19,P8"
864,"P13,P7,P21,P5,P8,P3"
865,"P11,P12,P7,P19,P15"
866,"P21,P10,P16"
867,"P21,P14,P7,P2,P20"
868,"P18,P12,P17,P5"
869,"P14,P12,P10,P13,P3"
870,"P21,P18,P19,P16"
871,"P21,P1,P8"
872,"P17,P11,P21,P4,P9"
873,"P21,P5,P19,P17"
874,"P14,P18,P15"
875,"P4,P20,P1,P15,P11"
876,"P11,P13"
877,"P4,P12"
